GEO,ST,STNAME,COUNTY/METRO,Total households (2016-2020),Renter households (2016-2020),renters_percent,renters,% of total households that are renters (2016-2020),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI,50% of AMI,Estimated median renter household income,Rent affordable at 30% AMI,Rent affordable at 50% AMI,Rent affordable at median renter household income,Rent affordable with full-time job paying minimum wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,# of jobs at minimum wage needed to afford a 0 bdrm FMR,# of jobs at minimum wage needed to afford a 1 bdrm FMR,# of jobs at minimum wage needed to afford a 2 bdrm FMR,# of jobs at minimum wage needed to afford a 3 bdrm FMR,# of jobs at minimum wage needed to afford a 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
STATE,CA,California,,"13,103,114","5,861,796",45,0.45,45%,$15.00,$30.39,"$1,002","$1,416","$1,621","$2,028","$2,724","$3,119","$106,182","$31,855","$53,091",64242,$796,"$1,327","$1,606",$780,"$1,580",$301,"$56,653","$64,846","$81,133","$108,973","$124,760",$27.24,$31.18,$39.01,$52.39,$59.98,73,83,104,140,160,1.8,2.1,2.6,3.5,4.0,36,41,51,69,79
NONMETRO,CA,California,,"330,291","108,372",33,0.33,33%,$15.00,$15.33,"$1,002",$764,$840,"$1,089","$1,523","$1,773","$78,584","$23,575","$39,292",39132,$589,$982,$978,$780,$797,$301,"$30,549","$33,606","$43,579","$60,906","$70,920",$14.69,$16.16,$20.95,$29.28,$34.10,39,43,56,78,91,1.0,1.1,1.4,2.0,2.3,38,42,55,76,89
METRO,CA,California,Bakersfield MSA,"273,556","112,443",41,0.41,41%,$15.00,$16.71,"$1,002",$763,$772,"$1,013","$1,439","$1,734","$67,900","$20,370","$33,950",39513,$509,$849,$988,$780,$869,$301,"$30,520","$30,880","$40,520","$57,560","$69,360",$14.67,$14.85,$19.48,$27.67,$33.35,39,40,52,74,89,1.0,1.0,1.3,1.8,2.2,35,36,47,66,80
METRO,CA,California,Chico MSA,"83,879","33,992",41,0.41,41%,$15.00,$16.11,"$1,002",$826,$895,"$1,177","$1,662","$2,015","$85,000","$25,500","$42,500",39175,$638,"$1,063",$979,$780,$837,$301,"$33,040","$35,800","$47,080","$66,480","$80,600",$15.88,$17.21,$22.63,$31.96,$38.75,42,46,60,85,103,1.1,1.1,1.5,2.1,2.6,39,43,56,79,96
METRO,CA,California,El Centro MSA,"45,768","19,179",42,0.42,42%,$15.00,$12.24,"$1,002",$716,$815,"$1,065","$1,486","$1,793","$63,900","$19,170","$31,950",31617,$479,$799,$790,$780,$637,$301,"$28,640","$32,600","$42,600","$59,440","$71,720",$13.77,$15.67,$20.48,$28.58,$34.48,37,42,55,76,92,0.9,1.0,1.4,1.9,2.3,45,51,67,93,113
METRO,CA,California,Fresno MSA,"310,097","143,677",46,0.46,46%,$15.00,$15.53,"$1,002",$899,$904,"$1,137","$1,607","$1,847","$72,900","$21,870","$36,450",39451,$547,$911,$986,$780,$807,$301,"$35,960","$36,160","$45,480","$64,280","$73,880",$17.29,$17.38,$21.87,$30.90,$35.52,46,46,58,82,95,1.2,1.2,1.5,2.1,2.4,45,45,56,80,92
METRO,CA,California,Hanford-Corcoran MSA,"43,604","20,236",46,0.46,46%,$15.00,$17.33,"$1,002",$924,$930,"$1,162","$1,651","$1,799","$68,000","$20,400","$34,000",49456,$510,$850,"$1,236",$780,$901,$301,"$36,960","$37,200","$46,480","$66,040","$71,960",$17.77,$17.88,$22.35,$31.75,$34.60,47,48,60,85,92,1.2,1.2,1.5,2.1,2.3,41,41,52,73,80
METRO,CA,California,Los Angeles-Long Beach-Glendale HMFA,"3,332,504","1,798,032",54,0.54,54%,$15.00,$27.41,"$1,002","$1,384","$1,604","$2,044","$2,693","$2,933","$91,100","$27,330","$45,550",56903,$683,"$1,139","$1,423",$780,"$1,425",$301,"$55,360","$64,160","$81,760","$107,720","$117,320",$26.62,$30.85,$39.31,$51.79,$56.40,71,82,105,138,150,1.8,2.1,2.6,3.5,3.8,39,45,57,76,82
METRO,CA,California,Madera MSA,"44,479","15,209",34,0.34,34%,$15.00,$15.94,"$1,002",$913,$919,"$1,198","$1,702","$1,870","$75,500","$22,650","$37,750",44079,$566,$944,"$1,102",$780,$829,$301,"$36,520","$36,760","$47,920","$68,080","$74,800",$17.56,$17.67,$23.04,$32.73,$35.96,47,47,61,87,96,1.2,1.2,1.5,2.2,2.4,44,44,58,82,90
METRO,CA,California,Merced MSA,"81,306","38,826",48,0.48,48%,$15.00,$17.19,"$1,002",$766,$914,"$1,120","$1,591","$1,917","$73,100","$21,930","$36,550",46278,$548,$914,"$1,157",$780,$894,$301,"$30,640","$36,560","$44,800","$63,640","$76,680",$14.73,$17.58,$21.54,$30.60,$36.87,39,47,57,82,98,1.0,1.2,1.4,2.0,2.5,34,41,50,71,86
METRO,CA,California,Modesto MSA,"174,826","72,151",41,0.41,41%,$15.00,$19.81,"$1,002",$936,"$1,001","$1,250","$1,761","$2,063","$79,300","$23,790","$39,650",49776,$595,$991,"$1,244",$780,"$1,030",$301,"$37,440","$40,040","$50,000","$70,440","$82,520",$18.00,$19.25,$24.04,$33.87,$39.67,48,51,64,90,106,1.2,1.3,1.6,2.3,2.6,36,39,49,68,80
METRO,CA,California,Napa MSA,"48,484","17,060",35,0.35,35%,$15.00,$22.20,"$1,002","$1,438","$1,645","$2,164","$2,924","$2,935","$119,400","$35,820","$59,700",70646,$896,"$1,493","$1,766",$780,"$1,154",$301,"$57,520","$65,800","$86,560","$116,960","$117,400",$27.65,$31.63,$41.62,$56.23,$56.44,74,84,111,150,151,1.8,2.1,2.8,3.7,3.8,50,57,75,101,102
METRO,CA,California,Oakland-Fremont HMFA,"971,473","397,954",41,0.41,41%,$15.00,$30.98,"$1,002","$1,538","$1,854","$2,274","$3,006","$3,578","$142,800","$42,840","$71,400",79644,"$1,071","$1,785","$1,991",$780,"$1,611",$301,"$61,520","$74,160","$90,960","$120,240","$143,120",$29.58,$35.65,$43.73,$57.81,$68.81,79,95,117,154,183,2.0,2.4,2.9,3.9,4.6,38,46,56,75,89
METRO,CA,California,Oxnard-Thousand Oaks-Ventura MSA,"271,639","99,602",37,0.37,37%,$15.00,$22.26,"$1,002","$1,507","$1,792","$2,218","$3,101","$3,655","$115,400","$34,620","$57,700",67279,$866,"$1,443","$1,682",$780,"$1,158",$301,"$60,280","$71,680","$88,720","$124,040","$146,200",$28.98,$34.46,$42.65,$59.63,$70.29,77,92,114,159,187,1.9,2.3,2.8,4.0,4.7,52,62,77,107,126
METRO,CA,California,Redding MSA,"70,845","24,607",35,0.35,35%,$15.00,$17.69,"$1,002",$834,$954,"$1,255","$1,783","$2,148","$89,800","$26,940","$44,900",44128,$674,"$1,123","$1,103",$780,$920,$301,"$33,360","$38,160","$50,200","$71,320","$85,920",$16.04,$18.35,$24.13,$34.29,$41.31,43,49,64,91,110,1.1,1.2,1.6,2.3,2.8,36,41,55,78,93
METRO,CA,California,Riverside-San Bernardino-Ontario MSA,"1,376,503","494,470",36,0.36,36%,$15.00,$17.68,"$1,002","$1,062","$1,202","$1,509","$2,065","$2,542","$87,400","$26,220","$43,700",51380,$656,"$1,093","$1,285",$780,$919,$301,"$42,480","$48,080","$60,360","$82,600","$101,680",$20.42,$23.12,$29.02,$39.71,$48.88,54,62,77,106,130,1.4,1.5,1.9,2.6,3.3,46,52,66,90,111
METRO,CA,California,Sacramento--Roseville--Arden-Arcade HMFA,"766,311","289,990",38,0.38,38%,$15.00,$21.55,"$1,002","$1,108","$1,228","$1,543","$2,192","$2,625","$102,200","$30,660","$51,100",54386,$767,"$1,278","$1,360",$780,"$1,121",$301,"$44,320","$49,120","$61,720","$87,680","$105,000",$21.31,$23.62,$29.67,$42.15,$50.48,57,63,79,112,135,1.4,1.6,2.0,2.8,3.4,40,44,55,78,94
METRO,CA,California,Salinas MSA,"128,003","61,657",48,0.48,48%,$15.00,$18.25,"$1,002","$1,533","$1,616","$1,967","$2,794","$3,081","$90,100","$27,030","$45,050",60985,$676,"$1,126","$1,525",$780,$949,$301,"$61,320","$64,640","$78,680","$111,760","$123,240",$29.48,$31.08,$37.83,$53.73,$59.25,79,83,101,143,158,2.0,2.1,2.5,3.6,4.0,65,68,83,118,130
METRO,CA,California,San Benito County HMFA,"18,389","6,376",35,0.35,35%,$15.00,$16.53,"$1,002","$1,096","$1,253","$1,649","$2,342","$2,822","$105,100","$31,530","$52,550",61555,$788,"$1,314","$1,539",$780,$860,$301,"$43,840","$50,120","$65,960","$93,680","$112,880",$21.08,$24.10,$31.71,$45.04,$54.27,56,64,85,120,145,1.4,1.6,2.1,3.0,3.6,51,58,77,109,131
METRO,CA,California,San Diego-Carlsbad MSA,"1,130,703","521,353",46,0.46,46%,$15.00,$26.69,"$1,002","$1,573","$1,739","$2,232","$3,099","$3,795","$106,900","$32,070","$53,450",64750,$802,"$1,336","$1,619",$780,"$1,388",$301,"$62,920","$69,560","$89,280","$123,960","$151,800",$30.25,$33.44,$42.92,$59.60,$72.98,81,89,114,159,195,2.0,2.2,2.9,4.0,4.9,45,50,64,89,109
METRO,CA,California,San Francisco HMFA,"730,392","368,291",50,0.50,50%,$15.00,$65.68,"$1,002","$2,115","$2,631","$3,198","$4,111","$4,473","$166,000","$49,800","$83,000",106831,"$1,245","$2,075","$2,671",$780,"$3,415",$301,"$84,600","$105,240","$127,920","$164,440","$178,920",$40.67,$50.60,$61.50,$79.06,$86.02,108,135,164,211,229,2.7,3.4,4.1,5.3,5.7,25,31,37,48,52
METRO,CA,California,San Jose-Sunnyvale-Santa Clara HMFA,"635,314","277,086",44,0.44,44%,$15.00,$68.20,"$1,002","$2,145","$2,418","$2,868","$3,687","$4,213","$168,500","$50,550","$84,250",109598,"$1,264","$2,106","$2,740",$780,"$3,546",$301,"$85,800","$96,720","$114,720","$147,480","$168,520",$41.25,$46.50,$55.15,$70.90,$81.02,110,124,147,189,216,2.8,3.1,3.7,4.7,5.4,24,27,32,42,48
METRO,CA,California,San Luis Obispo-Paso Robles-Arroyo Grande MSA,"106,244","39,609",37,0.37,37%,$15.00,$19.21,"$1,002","$1,308","$1,436","$1,890","$2,685","$3,047","$109,200","$32,760","$54,600",59253,$819,"$1,365","$1,481",$780,$999,$301,"$52,320","$57,440","$75,600","$107,400","$121,880",$25.15,$27.62,$36.35,$51.63,$58.60,67,74,97,138,156,1.7,1.8,2.4,3.4,3.9,52,57,76,107,122
METRO,CA,California,Santa Ana-Anaheim-Irvine HMFA,"1,040,001","444,773",43,0.43,43%,$15.00,$26.80,"$1,002","$1,716","$1,905","$2,324","$3,178","$3,674","$119,100","$35,730","$59,550",74127,$893,"$1,489","$1,853",$780,"$1,394",$301,"$68,640","$76,200","$92,960","$127,120","$146,960",$33.00,$36.63,$44.69,$61.12,$70.65,88,98,119,163,188,2.2,2.4,3.0,4.1,4.7,49,55,67,91,105
METRO,CA,California,Santa Cruz-Watsonville MSA,"96,275","38,181",40,0.40,40%,$15.00,$19.78,"$1,002","$2,085","$2,385","$3,138","$4,000","$4,458","$119,300","$35,790","$59,650",64495,$895,"$1,491","$1,612",$780,"$1,029",$301,"$83,400","$95,400","$125,520","$160,000","$178,320",$40.10,$45.87,$60.35,$76.92,$85.73,107,122,161,205,229,2.7,3.1,4.0,5.1,5.7,81,93,122,156,173
METRO,CA,California,Santa Maria-Santa Barbara MSA,"148,309","70,805",48,0.48,48%,$15.00,$21.58,"$1,002","$1,875","$2,157","$2,516","$3,316","$3,790","$100,100","$30,030","$50,050",62433,$751,"$1,251","$1,561",$780,"$1,122",$301,"$75,000","$86,280","$100,640","$132,640","$151,600",$36.06,$41.48,$48.38,$63.77,$72.88,96,111,129,170,194,2.4,2.8,3.2,4.3,4.9,67,77,90,118,135
