GEO_ID,NAME,state,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED0_PF,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED12_PF,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM,PRED3_PF,Total_Population_E,Total_Population_M,Housing_Units_E,Housing_Units_M,Hispanic_PE,Hispanic_PM,Hispanic_PF,NH_White_alone_PE,NH_White_alone_PM,NH_White_alone_PF,NH_Black_alone_PE,NH_Black_alone_PM,NH_Black_alone_PF,NH_AIAN_alone_PE,NH_AIAN_alone_PM,NH_AIAN_alone_PF,NH_Asian_alone_PE,NH_Asian_alone_PM,NH_Asian_alone_PF,NH_NHPI_alone_PE,NH_NHPI_alone_PM,NH_NHPI_alone_PF,NH_SOR_alone_PE,NH_SOR_alone_PM,NH_SOR_alone_PF,NH_Two_or_More_PE,NH_Two_or_More_PM,NH_Two_or_More_PF,Male_PE,Male_PM,Male_PF,Female_PE,Female_PM,Female_PF,civ_vet_PE,civ_vet_PM,civ_vet_PF,GINI_IND_Inequality_E,GINI_IND_Inequality_M,GINI_IND_Inequality_F,Rural_Pop_PE,Rural_Pop_PF,Median_age_E,Median_age_M,Median_age_F,65_plus_PE,65_plus_PM,65_plus_PF,Disabled_PE,Disabled_PM,Disabled_PF,Blw_Pov_Lvl_PE,Blw_Pov_Lvl_PM,Blw_Pov_Lvl_PF,Female_no_partner_w_child_PE,Female_no_partner_w_child_PM,Female_no_partner_w_child_PF,Male_no_partner_w_child_PE,Male_no_partner_w_child_PM,Male_no_partner_w_child_PF,crowd_occ_PE,crowd_occ_PM,crowd_occ_PF,HS_Grad_PE,HS_Grad_PM,HS_Grad_PF,ENG_LVW_PE,ENG_LVW_PM,ENG_LVW_PF,WRK_FT_YR_PE,WRK_FT_YR_PM,WRK_FT_YR_PF,No_Health_Ins_PE,No_Health_Ins_PM,No_Health_Ins_PF,Broadband_PE,Broadband_PM,Broadband_PF,No_Veh_PE,No_Veh_PM,No_Veh_PF,HO_Vac_PE,HO_Vac_PM,HO_Vac_PF,Rent_Vac_PE,Rent_Vac_PM,Rent_Vac_PF
0500000US01001,Autauga County, Alabama,20573,6265,36.94,11.25,0,22750,6438,40.85,11.56,0,12365,5420,22.2,9.73,0,55380,-555555555,23493,83,2.8,-555555555,-1,74.6,0.1,1,19,0.5,1,0.3,0.1,-1,1,0.3,-1,0,0.1,-1,0.2,0.2,0,2.1,0.5,0,48.6,0.3,-1,51.4,0.3,1,12.6,1.3,1,0.4542,0.0392,0,42,1,38.2,0.6,0,15,0.2,-1,19,1.3,1,15.2,1.8,0,5.4,1.2,0,1.3,0.5,0,0.2,0.2,-1,88.5,1.4,0,1.4,0.5,-1,52.6,2.2,0,7.1,1,-1,80.6,1.9,-1,4.4,0.9,-1,1.4,0.6,0,3.1,1.7,-1
0500000US01003,Baldwin County, Alabama,78622,21331,35.43,9.61,0,90552,22201,40.81,10,0,52724,19171,23.76,8.64,0,212830,-555555555,114164,219,4.6,-555555555,-1,83.1,0.1,1,9.2,0.2,-1,0.7,0.1,0,0.9,0.1,-1,0,0.1,-1,0.2,0.1,0,1.5,0.3,-1,48.6,0.1,-1,51.4,0.1,1,11.8,0.6,1,0.4587,0.01,-1,42.28,1,43,0.3,1,20,0.1,1,14.2,0.7,1,10.4,0.9,-1,3.9,0.6,-1,1,0.3,0,0.4,0.2,-1,90.8,0.7,1,1.8,0.3,-1,50.5,1.1,0,8.9,0.7,0,81.8,1.2,0,3.3,0.4,-1,3.3,0.7,1,43.6,2.2,1
0500000US01005,Barbour County, Alabama,5024,2126,22.81,9.65,-1,9171,2424,41.64,11.01,0,7828,2321,35.54,10.54,1,25361,-555555555,12013,143,4.4,-555555555,-1,45.8,0.1,-1,47.4,0.6,1,0.3,0.2,-1,0.5,0.1,-1,0,0.1,-1,0.4,0.3,0,1.2,0.5,-1,52.9,0.3,1,47.1,0.3,-1,6.6,0.8,0,0.4883,0.0153,0,67.79,2,40.4,0.5,1,18.6,0.1,1,21.4,1.6,1,30.7,2.4,1,9.4,1.5,1,1,0.7,0,0.6,0.4,-1,73.2,1.8,-1,2.6,0.7,-1,37.1,2.5,-1,11.3,1.5,1,60.5,2.6,-1,10.2,2,0,3.8,1.4,1,7.4,3,0
0500000US01007,Bibb County, Alabama,6280,2060,30.79,10.1,0,8986,2212,44.06,10.85,0,5127,2004,25.14,9.82,0,22493,-555555555,9185,68,2.6,-555555555,-1,74.5,0.1,1,22.1,0.5,1,0.1,0.3,-1,0.1,0.2,-1,0,0.1,-1,0,0.1,-1,0.5,0.3,-1,54,0.9,1,46,0.9,-1,8,1.4,0,0.4487,0.0409,0,68.35,2,40.9,1.3,1,15.9,0.3,0,17.2,2.7,1,18.1,4.5,1,4.4,2.2,0,1.7,1.3,0,0.8,0.6,0,79.1,3.2,-1,1.3,0.6,-1,39.7,3.3,-1,10.7,2.2,0,69.2,4.3,-1,6.2,2.4,0,1.5,1.3,0,5.6,5.4,0
0500000US01009,Blount County, Alabama,18189,4926,31.53,8.54,0,23950,5265,41.51,9.13,0,15558,4717,26.97,8.18,0,57681,-555555555,24323,67,9.3,-555555555,-1,86.9,0.5,1,1.5,0.3,-1,0.1,0.1,-1,0.4,0.1,-1,0,0.1,-1,0.4,0.5,0,1.5,0.2,-1,49.4,0.2,0,50.6,0.2,0,7.7,0.8,0,0.457,0.0231,-1,89.95,2,40.7,0.3,1,17.9,0.2,1,14.1,1,1,13.6,1.7,0,3.9,1,-1,1.8,0.6,0,0.2,0.1,-1,80.5,1.6,-1,3.4,0.5,-1,47.6,1.7,-1,10.8,1.4,1,73,2.5,-1,4.1,1.1,-1,0.7,0.4,-1,8.4,3,0
0500000US01011,Bullock County, Alabama,2074,1082,24.12,12.58,0,3534,1300,41.09,15.11,0,2992,1272,34.79,14.79,0,10248,-555555555,4557,58,2.6,3.1,-1,21.4,0.3,-1,74.8,3.2,1,0,0.3,-1,0.5,0.6,-1,0,0.3,0,0,0.1,-1,0.8,1,-1,54.4,0.8,1,45.6,0.8,-1,3.3,1.4,-1,0.4731,0.0518,0,51.37,2,40.2,2.3,0,16,-555555555,1,12,2.9,0,28.9,7.5,1,11.6,4.8,1,8.5,6,1,0,0.9,-1,74.7,4.9,-1,1,0.8,-1,49.7,7.8,0,11.4,4.2,0,60.1,6.8,-1,10.7,4.6,0,0.2,0.3,-1,0.7,1.3,-1
0500000US01013,Butler County, Alabama,5431,1965,27.98,10.12,0,7643,2210,39.38,11.39,0,6336,2104,32.64,10.84,1,19828,-555555555,10089,47,1.4,-555555555,-1,51.6,0.2,-1,45,0.7,1,0.1,0.1,-1,0.3,0.3,-1,0,0.2,0,0,0.2,0,1.6,0.5,-1,45.8,0.6,-1,54.2,0.6,1,6.6,1.1,0,0.4619,0.0263,0,71.23,2,40.8,0.7,1,19.7,0.2,1,16.5,1.5,1,22.5,3.5,1,6.9,1.9,0,0.6,0.6,-1,0.6,0.5,0,85,1.9,-1,0.4,0.3,-1,47.4,3,-1,8.7,1.5,0,64.6,3.4,-1,7.5,1.4,0,3.7,1.4,1,23.2,5.4,1
0500000US01015,Calhoun County, Alabama,35169,11383,31.49,10.19,0,44189,11996,39.56,10.74,0,32336,10527,28.95,9.42,0,114618,-555555555,53631,183,3.8,-555555555,-1,72.1,0.2,1,20.7,0.4,1,0.2,0.1,-1,0.9,0.1,-1,0,0.1,-1,0.2,0.2,0,2.2,0.4,0,48.1,0.2,-1,51.9,0.2,1,10.8,0.7,1,0.4633,0.016,-1,33.7,1,39.6,0.3,1,17.2,0.1,1,21.2,0.9,1,17.9,1.3,1,6.5,0.8,1,0.7,0.2,-1,0.4,0.2,-1,84.4,1,-1,1.5,0.3,-1,45.9,1.6,-1,9.5,0.8,0,75.1,1.5,-1,6,0.8,-1,2.1,0.6,0,5.6,1.7,0
0500000US01017,Chambers County, Alabama,9457,3237,28.56,9.77,0,12798,3596,38.64,10.86,0,10862,3381,32.8,10.21,1,33660,-555555555,16988,75,2.4,-555555555,-1,55.5,0.1,-1,39.6,0.5,1,0.3,0.1,-1,1.1,0.2,-1,0,0.1,-1,0.1,0.1,0,1,0.6,-1,47.8,0.3,-1,52.2,0.3,1,7.9,1.1,0,0.423,0.0171,-1,49.15,1,42,0.7,1,19.2,0.2,1,18.1,1.6,1,17.3,2.2,1,5.3,1.2,0,1.2,0.8,0,3.6,1.5,1,81.6,1.8,-1,1.3,0.5,-1,51,2.6,0,10.3,1.7,0,69.4,2.2,-1,7.3,1.5,0,2.7,1.2,0,9.3,4.1,0
0500000US01019,Cherokee County, Alabama,7374,2527,28.24,9.67,0,11044,2702,42.29,10.35,0,7698,2462,29.48,9.43,0,25903,-555555555,16579,49,1.6,-555555555,-1,91.7,0.1,1,4.6,0.4,-1,1.1,0.5,0,0.2,0.3,-1,0,0.1,-1,0,0.1,-1,0.8,0.6,-1,49.3,0.5,0,50.7,0.5,0,9.1,1.2,1,0.4515,0.0217,-1,85.74,2,46.5,0.5,1,22.4,0.3,1,17.8,2,1,13.9,2.4,0,2.5,0.9,-1,0.9,0.5,0,0.5,0.6,0,81.6,2.3,-1,0.7,0.3,-1,48.7,3,0,8.6,1.8,0,70.7,3,-1,4.5,1.1,-1,3.3,1.4,1,13.7,5.5,1
