State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,"41,393,176","41,149,497","41,636,855",12.8,12.7,12.9,"12,243,219","12,110,180","12,376,258",16.9,16.7,17.1,"8,636,275","8,533,254","8,739,296",16.1,15.9,16.3,"69,717","69,583","69,851","3,349,149","3,299,669","3,398,629",18.3,18,18.6
1,0,AL,Alabama,"800,848","782,169","819,527",16.3,15.9,16.7,"250,327","241,921","258,733",22.7,21.9,23.5,"176,596","169,423","183,769",21.6,20.7,22.5,"53,990","53,218","54,762","71,220","66,888","75,552",25.1,23.6,26.6
1,1,AL,Autauga County,"6,296","4,772","7,820",10.7,8.1,13.3,"2,199","1,560","2,838",16.1,11.4,20.8,"1,607","1,108","2,106",15.6,10.8,20.4,"66,444","60,061","72,827",.,.,.,.,.,.
1,3,AL,Baldwin County,"25,526","21,599","29,453",10.8,9.1,12.5,"8,207","6,560","9,854",16.4,13.1,19.7,"5,762","4,512","7,012",15.2,11.9,18.5,"65,658","60,723","70,593",.,.,.,.,.,.
1,5,AL,Barbour County,"5,089","3,773","6,405",23,17,29,"1,776","1,256","2,296",35.1,24.8,45.4,"1,276",868,"1,684",33.8,23,44.6,"38,649","34,308","42,990",.,.,.,.,.,.
1,7,AL,Bibb County,"4,204","3,324","5,084",20.6,16.3,24.9,"1,275","1,004","1,546",29,22.8,35.2,940,734,"1,146",29,22.6,35.4,"48,454","42,438","54,470",.,.,.,.,.,.
1,9,AL,Blount County,"6,992","5,516","8,468",12,9.5,14.5,"2,236","1,608","2,864",16.7,12,21.4,"1,599","1,118","2,080",15.9,11.1,20.7,"56,894","52,632","61,156",.,.,.,.,.,.
1,11,AL,Bullock County,"2,764","2,161","3,367",32.1,25.1,39.1,903,668,"1,138",41.7,30.8,52.6,690,513,867,43.2,32.1,54.3,"32,027","28,131","35,923",.,.,.,.,.,.
1,13,AL,Butler County,"4,226","3,385","5,067",22.7,18.2,27.2,"1,441","1,061","1,821",34.2,25.2,43.2,"1,073",776,"1,370",34.2,24.7,43.7,"39,442","34,974","43,910",.,.,.,.,.,.
1,15,AL,Calhoun County,"21,630","18,671","24,589",19.2,16.6,21.8,"6,205","4,918","7,492",25.2,20,30.4,"4,485","3,460","5,510",24.7,19,30.4,"48,166","43,479","52,853",.,.,.,.,.,.
